File,G652D_40_1500_2xtof_przes500v2.csv,
1469.982500,1.4060E-004,1469.982500,4.0510E-006,1469.982500,1.8830E-007,1469.982500,7.4668E002
1470.065000,1.5200E-004,1470.065000,4.4490E-006,1470.065000,2.0520E-007,1470.065000,7.4074E002
1470.147500,1.5400E-004,1470.147500,4.5150E-006,1470.147500,1.7150E-007,1470.147500,8.9796E002
1470.230000,1.5430E-004,1470.230000,4.4440E-006,1470.230000,1.8930E-007,1470.230000,8.1511E002
1470.312500,1.5500E-004,1470.312500,4.5250E-006,1470.312500,2.0120E-007,1470.312500,7.7038E002
1470.395000,1.5590E-004,1470.395000,4.5350E-006,1470.395000,2.1630E-007,1470.395000,7.2076E002
1470.477500,1.5580E-004,1470.477500,4.5970E-006,1470.477500,1.7820E-007,1470.477500,8.7430E002
1470.560000,1.5640E-004,1470.560000,4.5800E-006,1470.560000,1.9280E-007,1470.560000,8.1120E002
1470.642500,1.5670E-004,1470.642500,4.5910E-006,1470.642500,1.8530E-007,1470.642500,8.4566E002
1470.725000,1.5660E-004,1470.725000,4.5870E-006,1470.725000,1.9760E-007,1470.725000,7.9251E002
1470.807500,1.5700E-004,1470.807500,4.4960E-006,1470.807500,2.2300E-007,1470.807500,7.0404E002
1470.890000,1.5760E-004,1470.890000,4.6290E-006,1470.890000,1.9150E-007,1470.890000,8.2298E002
1470.972500,1.5350E-004,1470.972500,4.4960E-006,1470.972500,1.9250E-007,1470.972500,7.9740E002
1471.055000,1.4540E-004,1471.055000,4.2210E-006,1471.055000,1.7760E-007,1471.055000,8.1869E002
1471.137500,1.5840E-004,1471.137500,4.4990E-006,1471.137500,1.8600E-007,1471.137500,8.5161E002
1471.220000,1.5980E-004,1471.220000,4.6120E-006,1471.220000,1.5360E-007,1471.220000,1.0404E003
1471.302500,1.6040E-004,1471.302500,4.7050E-006,1471.302500,1.6140E-007,1471.302500,9.9380E002
1471.385000,1.5120E-004,1471.385000,4.4550E-006,1471.385000,1.7810E-007,1471.385000,8.4896E002
1471.467500,1.6030E-004,1471.467500,4.6260E-006,1471.467500,1.7510E-007,1471.467500,9.1548E002
1471.550000,1.6210E-004,1471.550000,4.6940E-006,1471.550000,1.7050E-007,1471.550000,9.5073E002
1471.632500,1.6170E-004,1471.632500,4.6560E-006,1471.632500,1.4570E-007,1471.632500,1.1098E003
1471.715000,1.6250E-004,1471.715000,4.7180E-006,1471.715000,1.8360E-007,1471.715000,8.8508E002
1471.797500,1.6360E-004,1471.797500,4.7160E-006,1471.797500,1.5470E-007,1471.797500,1.0575E003
1471.880000,1.6380E-004,1471.880000,4.7600E-006,1471.880000,1.7510E-007,1471.880000,9.3547E002
1471.962500,1.6370E-004,1471.962500,4.7150E-006,1471.962500,2.0000E-007,1471.962500,8.1850E002
1472.045000,1.6480E-004,1472.045000,4.7510E-006,1472.045000,2.0760E-007,1472.045000,7.9383E002
1472.127500,1.6370E-004,1472.127500,4.6170E-006,1472.127500,1.6110E-007,1472.127500,1.0161E003
1472.210000,1.6550E-004,1472.210000,4.6660E-006,1472.210000,1.7320E-007,1472.210000,9.5554E002
1472.292500,1.6670E-004,1472.292500,4.8340E-006,1472.292500,1.6400E-007,1472.292500,1.0165E003
1472.375000,1.6660E-004,1472.375000,4.6890E-006,1472.375000,1.9510E-007,1472.375000,8.5392E002
1472.457500,1.6690E-004,1472.457500,4.7530E-006,1472.457500,1.4230E-007,1472.457500,1.1729E003
1472.540000,1.6690E-004,1472.540000,4.7700E-006,1472.540000,1.6620E-007,1472.540000,1.0042E003
1472.622500,1.5860E-004,1472.622500,4.4200E-006,1472.622500,1.6860E-007,1472.622500,9.4069E002
1472.705000,1.6050E-004,1472.705000,4.4270E-006,1472.705000,1.1690E-007,1472.705000,1.3730E003
1472.787500,1.6760E-004,1472.787500,4.7040E-006,1472.787500,1.3950E-007,1472.787500,1.2014E003
1472.870000,1.6720E-004,1472.870000,4.5630E-006,1472.870000,1.7650E-007,1472.870000,9.4731E002
1472.952500,1.6560E-004,1472.952500,4.5800E-006,1472.952500,1.6680E-007,1472.952500,9.9281E002
1473.035000,1.6920E-004,1473.035000,4.6840E-006,1473.035000,1.6510E-007,1473.035000,1.0248E003
