File,G652D_40_1500_2xtof_przes500v2.csv,
1582.595000,2.1460E-004,1582.595000,1.1040E-006,1582.595000,8.3160E-006,1582.595000,2.5806E001
1582.677500,2.1280E-004,1582.677500,1.1210E-006,1582.677500,8.2120E-006,1582.677500,2.5913E001
1582.760000,2.1540E-004,1582.760000,1.1290E-006,1582.760000,8.3420E-006,1582.760000,2.5821E001
1582.842500,2.1260E-004,1582.842500,1.0450E-006,1582.842500,8.2220E-006,1582.842500,2.5857E001
1582.925000,2.1500E-004,1582.925000,1.1320E-006,1582.925000,8.2620E-006,1582.925000,2.6023E001
1583.007500,2.1260E-004,1583.007500,1.0990E-006,1583.007500,8.1580E-006,1583.007500,2.6060E001
1583.090000,2.1440E-004,1583.090000,1.1040E-006,1583.090000,8.2820E-006,1583.090000,2.5887E001
1583.172500,2.1440E-004,1583.172500,1.1270E-006,1583.172500,8.2020E-006,1583.172500,2.6140E001
1583.255000,2.1120E-004,1583.255000,1.0890E-006,1583.255000,8.1300E-006,1583.255000,2.5978E001
1583.337500,2.1720E-004,1583.337500,1.1390E-006,1583.337500,8.3450E-006,1583.337500,2.6028E001
1583.420000,2.1180E-004,1583.420000,1.1450E-006,1583.420000,8.1400E-006,1583.420000,2.6020E001
1583.502500,2.1520E-004,1583.502500,1.1910E-006,1583.502500,8.2530E-006,1583.502500,2.6075E001
1583.585000,2.1560E-004,1583.585000,1.1870E-006,1583.585000,8.2870E-006,1583.585000,2.6017E001
1583.667500,2.1240E-004,1583.667500,1.1740E-006,1583.667500,8.0940E-006,1583.667500,2.6242E001
1583.750000,2.1600E-004,1583.750000,1.1450E-006,1583.750000,8.3270E-006,1583.750000,2.5940E001
1583.832500,2.1280E-004,1583.832500,1.2010E-006,1583.832500,8.2210E-006,1583.832500,2.5885E001
1583.915000,2.1620E-004,1583.915000,1.2560E-006,1583.915000,8.2230E-006,1583.915000,2.6292E001
1583.997500,2.1240E-004,1583.997500,1.2150E-006,1583.997500,8.1900E-006,1583.997500,2.5934E001
1584.080000,2.1590E-004,1584.080000,1.2090E-006,1584.080000,8.2890E-006,1584.080000,2.6047E001
1584.162500,2.1360E-004,1584.162500,1.3290E-006,1584.162500,8.1780E-006,1584.162500,2.6119E001
1584.245000,2.1320E-004,1584.245000,1.2690E-006,1584.245000,8.1260E-006,1584.245000,2.6237E001
1584.327500,2.1570E-004,1584.327500,1.2440E-006,1584.327500,8.1930E-006,1584.327500,2.6327E001
1584.410000,2.1160E-004,1584.410000,1.1900E-006,1584.410000,8.0630E-006,1584.410000,2.6243E001
1584.492500,2.1730E-004,1584.492500,1.3020E-006,1584.492500,8.2790E-006,1584.492500,2.6247E001
1584.575000,2.1140E-004,1584.575000,1.2830E-006,1584.575000,8.0860E-006,1584.575000,2.6144E001
1584.657500,2.1430E-004,1584.657500,1.2140E-006,1584.657500,8.0780E-006,1584.657500,2.6529E001
1584.740000,2.1650E-004,1584.740000,1.3230E-006,1584.740000,8.2650E-006,1584.740000,2.6195E001
1584.822500,2.1140E-004,1584.822500,1.2810E-006,1584.822500,8.0470E-006,1584.822500,2.6271E001
1584.905000,2.1630E-004,1584.905000,1.3200E-006,1584.905000,8.1240E-006,1584.905000,2.6625E001
1584.987500,2.1330E-004,1584.987500,1.2610E-006,1584.987500,8.0410E-006,1584.987500,2.6527E001
1585.070000,2.1510E-004,1585.070000,1.3070E-006,1585.070000,8.1120E-006,1585.070000,2.6516E001
1585.152500,2.1350E-004,1585.152500,1.3010E-006,1585.152500,7.9680E-006,1585.152500,2.6795E001
1585.235000,2.1470E-004,1585.235000,1.2920E-006,1585.235000,8.1040E-006,1585.235000,2.6493E001
1585.317500,2.1470E-004,1585.317500,1.3650E-006,1585.317500,8.0170E-006,1585.317500,2.6781E001
1585.400000,2.1210E-004,1585.400000,1.3450E-006,1585.400000,7.9740E-006,1585.400000,2.6599E001
1585.482500,2.1650E-004,1585.482500,1.3690E-006,1585.482500,8.1660E-006,1585.482500,2.6512E001
1585.565000,2.1120E-004,1585.565000,1.3210E-006,1585.565000,7.9520E-006,1585.565000,2.6559E001
1585.647500,2.1550E-004,1585.647500,1.3540E-006,1585.647500,8.0530E-006,1585.647500,2.6760E001
1585.730000,2.1290E-004,1585.730000,1.4040E-006,1585.730000,7.9010E-006,1585.730000,2.6946E001
1585.812500,2.1390E-004,1585.812500,1.3360E-006,1585.812500,8.0090E-006,1585.812500,2.6707E001
1585.895000,2.1530E-004,1585.895000,1.3310E-006,1585.895000,8.0810E-006,1585.895000,2.6643E001
1585.977500,2.1210E-004,1585.977500,1.4330E-006,1585.977500,7.8750E-006,1585.977500,2.6933E001
1586.060000,2.1610E-004,1586.060000,1.3780E-006,1586.060000,8.0190E-006,1586.060000,2.6948E001
1586.142500,2.1290E-004,1586.142500,1.4130E-006,1586.142500,7.9210E-006,1586.142500,2.6878E001
1586.225000,2.1490E-004,1586.225000,1.3630E-006,1586.225000,8.0530E-006,1586.225000,2.6686E001
1586.307500,2.1410E-004,1586.307500,1.3460E-006,1586.307500,7.9980E-006,1586.307500,2.6769E001
1586.390000,2.1410E-004,1586.390000,1.4000E-006,1586.390000,7.8730E-006,1586.390000,2.7194E001
1586.472500,2.1430E-004,1586.472500,1.3670E-006,1586.472500,7.9250E-006,1586.472500,2.7041E001
1586.555000,2.1210E-004,1586.555000,1.4150E-006,1586.555000,7.7740E-006,1586.555000,2.7283E001
1586.637500,2.1530E-004,1586.637500,1.4540E-006,1586.637500,7.9420E-006,1586.637500,2.7109E001
1586.720000,2.1110E-004,1586.720000,1.4640E-006,1586.720000,7.7570E-006,1586.720000,2.7214E001
1586.802500,2.1290E-004,1586.802500,1.4440E-006,1586.802500,7.8430E-006,1586.802500,2.7145E001
1586.885000,2.1330E-004,1586.885000,1.5550E-006,1586.885000,7.8530E-006,1586.885000,2.7162E001
1586.967500,2.1190E-004,1586.967500,1.4670E-006,1586.967500,7.8130E-006,1586.967500,2.7121E001
1587.050000,2.1310E-004,1587.050000,1.4510E-006,1587.050000,7.8610E-006,1587.050000,2.7109E001
1587.132500,2.1100E-004,1587.132500,1.4180E-006,1587.132500,7.6930E-006,1587.132500,2.7428E001
1587.215000,2.1570E-004,1587.215000,1.4720E-006,1587.215000,7.8870E-006,1587.215000,2.7349E001
1587.297500,2.1040E-004,1587.297500,1.4710E-006,1587.297500,7.7780E-006,1587.297500,2.7051E001
1587.380000,2.1390E-004,1587.380000,1.5490E-006,1587.380000,7.7720E-006,1587.380000,2.7522E001
1587.462500,2.1310E-004,1587.462500,1.4760E-006,1587.462500,7.7950E-006,1587.462500,2.7338E001
1587.545000,2.1020E-004,1587.545000,1.4820E-006,1587.545000,7.6470E-006,1587.545000,2.7488E001
1587.627500,2.1430E-004,1587.627500,1.5560E-006,1587.627500,7.8570E-006,1587.627500,2.7275E001
1587.710000,2.0940E-004,1587.710000,1.4930E-006,1587.710000,7.6530E-006,1587.710000,2.7362E001
1587.792500,2.1530E-004,1587.792500,1.4930E-006,1587.792500,7.7910E-006,1587.792500,2.7634E001
1587.875000,2.0860E-004,1587.875000,1.5240E-006,1587.875000,7.6350E-006,1587.875000,2.7322E001
1587.957500,2.1280E-004,1587.957500,1.5250E-006,1587.957500,7.6660E-006,1587.957500,2.7759E001
1588.040000,2.1240E-004,1588.040000,1.5830E-006,1588.040000,7.7590E-006,1588.040000,2.7375E001
1588.122500,2.0880E-004,1588.122500,1.5270E-006,1588.122500,7.4020E-006,1588.122500,2.8209E001
1588.205000,2.1350E-004,1588.205000,1.5890E-006,1588.205000,7.7240E-006,1588.205000,2.7641E001
1588.287500,2.0880E-004,1588.287500,1.5710E-006,1588.287500,7.5150E-006,1588.287500,2.7784E001
1588.370000,2.1370E-004,1588.370000,1.5720E-006,1588.370000,7.6400E-006,1588.370000,2.7971E001
1588.452500,2.0960E-004,1588.452500,1.5200E-006,1588.452500,7.4960E-006,1588.452500,2.7962E001
1588.535000,2.1080E-004,1588.535000,1.6400E-006,1588.535000,7.4480E-006,1588.535000,2.8303E001
1588.617500,2.1260E-004,1588.617500,1.6250E-006,1588.617500,7.6720E-006,1588.617500,2.7711E001
1588.700000,2.0820E-004,1588.700000,1.5660E-006,1588.700000,7.3670E-006,1588.700000,2.8261E001
1588.782500,2.1430E-004,1588.782500,1.6200E-006,1588.782500,7.6070E-006,1588.782500,2.8171E001
1588.865000,2.0860E-004,1588.865000,1.6750E-006,1588.865000,7.4160E-006,1588.865000,2.8128E001
1588.947500,2.1180E-004,1588.947500,1.5530E-006,1588.947500,7.4440E-006,1588.947500,2.8452E001
1589.030000,2.1020E-004,1589.030000,1.6200E-006,1589.030000,7.5550E-006,1589.030000,2.7823E001
1589.112500,2.0880E-004,1589.112500,1.5790E-006,1589.112500,7.3310E-006,1589.112500,2.8482E001
1589.195000,2.1240E-004,1589.195000,1.6410E-006,1589.195000,7.5390E-006,1589.195000,2.8173E001
1589.277500,2.0600E-004,1589.277500,1.5990E-006,1589.277500,7.2500E-006,1589.277500,2.8414E001
1589.360000,2.1370E-004,1589.360000,1.6040E-006,1589.360000,7.5100E-006,1589.360000,2.8455E001
1589.442500,2.0880E-004,1589.442500,1.6070E-006,1589.442500,7.2630E-006,1589.442500,2.8748E001
1589.525000,2.1000E-004,1589.525000,1.6570E-006,1589.525000,7.2980E-006,1589.525000,2.8775E001
1589.607500,2.1120E-004,1589.607500,1.6230E-006,1589.607500,7.4330E-006,1589.607500,2.8414E001
1589.690000,2.0880E-004,1589.690000,1.6710E-006,1589.690000,7.2940E-006,1589.690000,2.8626E001
1589.772500,2.1290E-004,1589.772500,1.6960E-006,1589.772500,7.4090E-006,1589.772500,2.8735E001
1589.855000,2.0820E-004,1589.855000,1.6360E-006,1589.855000,7.2920E-006,1589.855000,2.8552E001
1589.937500,2.1270E-004,1589.937500,1.7080E-006,1589.937500,7.3300E-006,1589.937500,2.9018E001
1590.020000,2.0860E-004,1590.020000,1.6260E-006,1590.020000,7.3280E-006,1590.020000,2.8466E001
1590.102500,2.0900E-004,1590.102500,1.6810E-006,1590.102500,7.2470E-006,1590.102500,2.8840E001
1590.185000,2.1230E-004,1590.185000,1.8400E-006,1590.185000,7.3360E-006,1590.185000,2.8939E001
1590.267500,2.0720E-004,1590.267500,1.6080E-006,1590.267500,7.1770E-006,1590.267500,2.8870E001
1590.350000,2.1100E-004,1590.350000,1.7620E-006,1590.350000,7.2740E-006,1590.350000,2.9007E001
1590.432500,2.0760E-004,1590.432500,1.6780E-006,1590.432500,7.2220E-006,1590.432500,2.8745E001
1590.515000,2.1040E-004,1590.515000,1.6540E-006,1590.515000,7.2040E-006,1590.515000,2.9206E001
1590.597500,2.0900E-004,1590.597500,1.6560E-006,1590.597500,7.1610E-006,1590.597500,2.9186E001
1590.680000,2.0800E-004,1590.680000,1.7340E-006,1590.680000,7.0650E-006,1590.680000,2.9441E001
1590.762500,2.1210E-004,1590.762500,1.7730E-006,1590.762500,7.2620E-006,1590.762500,2.9207E001
1590.845000,2.0640E-004,1590.845000,1.6550E-006,1590.845000,7.0570E-006,1590.845000,2.9248E001
1590.927500,2.1210E-004,1590.927500,1.8080E-006,1590.927500,7.2400E-006,1590.927500,2.9296E001
1591.010000,2.0780E-004,1591.010000,1.7850E-006,1591.010000,7.1590E-006,1591.010000,2.9026E001
1591.092500,2.1050E-004,1591.092500,1.6940E-006,1591.092500,7.1720E-006,1591.092500,2.9350E001
1591.175000,2.1030E-004,1591.175000,1.6590E-006,1591.175000,7.0590E-006,1591.175000,2.9792E001
1591.257500,2.0760E-004,1591.257500,1.8220E-006,1591.257500,7.0330E-006,1591.257500,2.9518E001
1591.340000,2.1190E-004,1591.340000,1.7150E-006,1591.340000,7.2090E-006,1591.340000,2.9394E001
1591.422500,2.0620E-004,1591.422500,1.7190E-006,1591.422500,6.9810E-006,1591.422500,2.9537E001
1591.505000,2.1070E-004,1591.505000,1.7930E-006,1591.505000,6.9970E-006,1591.505000,3.0113E001
1591.587500,2.0800E-004,1591.587500,1.8050E-006,1591.587500,6.9640E-006,1591.587500,2.9868E001
1591.670000,2.0840E-004,1591.670000,1.7550E-006,1591.670000,6.9220E-006,1591.670000,3.0107E001
1591.752500,2.0920E-004,1591.752500,1.7800E-006,1591.752500,6.9310E-006,1591.752500,3.0183E001
1591.835000,2.0740E-004,1591.835000,1.8140E-006,1591.835000,6.8680E-006,1591.835000,3.0198E001
1591.917500,2.1010E-004,1591.917500,1.8340E-006,1591.917500,6.9450E-006,1591.917500,3.0252E001
1592.000000,2.0720E-004,1592.000000,1.7570E-006,1592.000000,6.7990E-006,1592.000000,3.0475E001
1592.082500,2.1010E-004,1592.082500,1.7950E-006,1592.082500,6.8970E-006,1592.082500,3.0463E001
1592.165000,2.0840E-004,1592.165000,1.8190E-006,1592.165000,6.8090E-006,1592.165000,3.0607E001
1592.247500,2.0860E-004,1592.247500,1.7620E-006,1592.247500,6.8610E-006,1592.247500,3.0404E001
1592.330000,2.1070E-004,1592.330000,1.8350E-006,1592.330000,6.8730E-006,1592.330000,3.0656E001
1592.412500,2.0660E-004,1592.412500,1.7550E-006,1592.412500,6.7750E-006,1592.412500,3.0494E001
1592.495000,2.1150E-004,1592.495000,1.8690E-006,1592.495000,6.8970E-006,1592.495000,3.0666E001
1592.577500,2.0600E-004,1592.577500,1.7890E-006,1592.577500,6.7180E-006,1592.577500,3.0664E001
1592.660000,2.0840E-004,1592.660000,1.8200E-006,1592.660000,6.8380E-006,1592.660000,3.0477E001
1592.742500,2.0930E-004,1592.742500,1.8000E-006,1592.742500,6.7980E-006,1592.742500,3.0788E001
1592.825000,2.0560E-004,1592.825000,1.8520E-006,1592.825000,6.5840E-006,1592.825000,3.1227E001
1592.907500,2.1030E-004,1592.907500,1.8220E-006,1592.907500,6.6450E-006,1592.907500,3.1648E001
1592.990000,2.0560E-004,1592.990000,1.7870E-006,1592.990000,6.6070E-006,1592.990000,3.1119E001
1593.072500,2.0990E-004,1593.072500,1.7980E-006,1593.072500,6.7270E-006,1593.072500,3.1203E001
1593.155000,2.0620E-004,1593.155000,1.8110E-006,1593.155000,6.5880E-006,1593.155000,3.1299E001
1593.237500,2.0800E-004,1593.237500,1.8160E-006,1593.237500,6.5500E-006,1593.237500,3.1756E001
1593.320000,2.0950E-004,1593.320000,1.8140E-006,1593.320000,6.5310E-006,1593.320000,3.2078E001
1593.402500,2.0500E-004,1593.402500,1.7580E-006,1593.402500,6.4150E-006,1593.402500,3.1956E001
1593.485000,2.1170E-004,1593.485000,1.8760E-006,1593.485000,6.6420E-006,1593.485000,3.1873E001
1593.567500,2.0460E-004,1593.567500,1.8230E-006,1593.567500,6.3770E-006,1593.567500,3.2084E001
1593.650000,2.0990E-004,1593.650000,1.8430E-006,1593.650000,6.6030E-006,1593.650000,3.1789E001
1593.732500,2.0700E-004,1593.732500,1.8570E-006,1593.732500,6.5500E-006,1593.732500,3.1603E001
1593.815000,2.0640E-004,1593.815000,1.7850E-006,1593.815000,6.4580E-006,1593.815000,3.1960E001
1593.897500,2.1010E-004,1593.897500,1.8040E-006,1593.897500,6.6170E-006,1593.897500,3.1752E001
1593.980000,2.0360E-004,1593.980000,1.7160E-006,1593.980000,6.2050E-006,1593.980000,3.2812E001
1594.062500,2.0950E-004,1594.062500,1.8230E-006,1594.062500,6.5500E-006,1594.062500,3.1985E001
1594.145000,2.0540E-004,1594.145000,1.8650E-006,1594.145000,6.3360E-006,1594.145000,3.2418E001
1594.227500,2.0620E-004,1594.227500,1.7760E-006,1594.227500,6.3460E-006,1594.227500,3.2493E001
1594.310000,2.0760E-004,1594.310000,1.8540E-006,1594.310000,6.3830E-006,1594.310000,3.2524E001
1594.392500,2.0500E-004,1594.392500,1.8490E-006,1594.392500,6.3070E-006,1594.392500,3.2504E001
1594.475000,2.0840E-004,1594.475000,1.8450E-006,1594.475000,6.3130E-006,1594.475000,3.3011E001
1594.557500,2.0360E-004,1594.557500,1.8430E-006,1594.557500,6.1010E-006,1594.557500,3.3372E001
1594.640000,2.0990E-004,1594.640000,1.8110E-006,1594.640000,6.2910E-006,1594.640000,3.3365E001
1594.722500,2.0560E-004,1594.722500,1.8700E-006,1594.722500,6.2260E-006,1594.722500,3.3023E001
1594.805000,2.0500E-004,1594.805000,1.8770E-006,1594.805000,6.1400E-006,1594.805000,3.3388E001
1594.887500,2.0950E-004,1594.887500,1.9110E-006,1594.887500,6.3300E-006,1594.887500,3.3096E001
1594.970000,2.0410E-004,1594.970000,1.8420E-006,1594.970000,6.0910E-006,1594.970000,3.3508E001
1595.052500,2.0760E-004,1595.052500,1.8780E-006,1595.052500,6.2440E-006,1595.052500,3.3248E001
1595.135000,2.0400E-004,1595.135000,1.7950E-006,1595.135000,6.0070E-006,1595.135000,3.3960E001
1595.217500,2.0600E-004,1595.217500,1.8440E-006,1595.217500,6.0150E-006,1595.217500,3.4248E001
1595.300000,2.0640E-004,1595.300000,1.8620E-006,1595.300000,6.1230E-006,1595.300000,3.3709E001
1595.382500,2.0220E-004,1595.382500,1.8130E-006,1595.382500,5.9310E-006,1595.382500,3.4092E001
1595.465000,2.0800E-004,1595.465000,1.8410E-006,1595.465000,6.0660E-006,1595.465000,3.4289E001
1595.547500,2.0350E-004,1595.547500,1.8680E-006,1595.547500,5.9070E-006,1595.547500,3.4451E001
1595.630000,2.0540E-004,1595.630000,1.8960E-006,1595.630000,6.0370E-006,1595.630000,3.4024E001
1595.712500,2.0410E-004,1595.712500,1.8130E-006,1595.712500,5.9680E-006,1595.712500,3.4199E001
1595.795000,2.0520E-004,1595.795000,1.7850E-006,1595.795000,5.8860E-006,1595.795000,3.4862E001
1595.877500,2.0600E-004,1595.877500,1.8280E-006,1595.877500,5.9740E-006,1595.877500,3.4483E001
1595.960000,2.0160E-004,1595.960000,1.7520E-006,1595.960000,5.8330E-006,1595.960000,3.4562E001
1596.042500,2.0820E-004,1596.042500,1.8220E-006,1596.042500,5.9110E-006,1596.042500,3.5222E001
1596.125000,2.0200E-004,1596.125000,1.8380E-006,1596.125000,5.7490E-006,1596.125000,3.5137E001
1596.207500,2.0520E-004,1596.207500,1.8000E-006,1596.207500,5.8350E-006,1596.207500,3.5167E001
1596.290000,2.0410E-004,1596.290000,1.8030E-006,1596.290000,5.8860E-006,1596.290000,3.4676E001
1596.372500,2.0310E-004,1596.372500,1.8100E-006,1596.372500,5.6000E-006,1596.372500,3.6268E001
1596.455000,2.0540E-004,1596.455000,1.8670E-006,1596.455000,5.8650E-006,1596.455000,3.5021E001
1596.537500,2.0100E-004,1596.537500,1.8100E-006,1596.537500,5.6630E-006,1596.537500,3.5494E001
1596.620000,2.0520E-004,1596.620000,1.8010E-006,1596.620000,5.7680E-006,1596.620000,3.5576E001
1596.702500,2.0090E-004,1596.702500,1.7540E-006,1596.702500,5.6230E-006,1596.702500,3.5728E001
1596.785000,2.0370E-004,1596.785000,1.8030E-006,1596.785000,5.6720E-006,1596.785000,3.5913E001
1596.867500,2.0280E-004,1596.867500,1.8610E-006,1596.867500,5.6140E-006,1596.867500,3.6124E001
1596.950000,2.0210E-004,1596.950000,1.7560E-006,1596.950000,5.5450E-006,1596.950000,3.6447E001
1597.032500,2.0430E-004,1597.032500,1.8130E-006,1597.032500,5.5570E-006,1597.032500,3.6764E001
1597.115000,2.0020E-004,1597.115000,1.7780E-006,1597.115000,5.5570E-006,1597.115000,3.6027E001
1597.197500,2.0600E-004,1597.197500,1.8060E-006,1597.197500,5.7230E-006,1597.197500,3.5995E001
1597.280000,2.0090E-004,1597.280000,1.8120E-006,1597.280000,5.4410E-006,1597.280000,3.6923E001
1597.362500,2.0160E-004,1597.362500,1.7560E-006,1597.362500,5.4200E-006,1597.362500,3.7196E001
1597.445000,2.0460E-004,1597.445000,1.8250E-006,1597.445000,5.6020E-006,1597.445000,3.6523E001
1597.527500,1.9910E-004,1597.527500,1.7120E-006,1597.527500,5.2360E-006,1597.527500,3.8025E001
1597.610000,2.0460E-004,1597.610000,1.8440E-006,1597.610000,5.4860E-006,1597.610000,3.7295E001
1597.692500,2.0010E-004,1597.692500,1.7200E-006,1597.692500,5.3730E-006,1597.692500,3.7242E001
1597.775000,2.0240E-004,1597.775000,1.7560E-006,1597.775000,5.3960E-006,1597.775000,3.7509E001
1597.857500,2.0220E-004,1597.857500,1.8260E-006,1597.857500,5.3670E-006,1597.857500,3.7675E001
1597.940000,1.9830E-004,1597.940000,1.7530E-006,1597.940000,5.2850E-006,1597.940000,3.7521E001
1598.022500,2.0580E-004,1598.022500,1.8000E-006,1598.022500,5.3160E-006,1598.022500,3.8713E001
1598.105000,1.9730E-004,1598.105000,1.6740E-006,1598.105000,5.1480E-006,1598.105000,3.8326E001
1598.187500,2.0390E-004,1598.187500,1.8260E-006,1598.187500,5.3430E-006,1598.187500,3.8162E001
1598.270000,2.0060E-004,1598.270000,1.7250E-006,1598.270000,5.1770E-006,1598.270000,3.8748E001
1598.352500,1.9960E-004,1598.352500,1.7730E-006,1598.352500,5.0770E-006,1598.352500,3.9315E001
1598.435000,2.0380E-004,1598.435000,1.7560E-006,1598.435000,5.2870E-006,1598.435000,3.8547E001
1598.517500,1.9660E-004,1598.517500,1.6590E-006,1598.517500,5.0750E-006,1598.517500,3.8739E001
1598.600000,2.0580E-004,1598.600000,1.7430E-006,1598.600000,5.2570E-006,1598.600000,3.9148E001
1598.682500,1.9630E-004,1598.682500,1.6910E-006,1598.682500,5.0130E-006,1598.682500,3.9158E001
1598.765000,2.0150E-004,1598.765000,1.7050E-006,1598.765000,5.0260E-006,1598.765000,4.0092E001
1598.847500,2.0180E-004,1598.847500,1.7150E-006,1598.847500,5.1570E-006,1598.847500,3.9131E001
1598.930000,1.9580E-004,1598.930000,1.5760E-006,1598.930000,4.8790E-006,1598.930000,4.0131E001
1599.012500,2.0290E-004,1599.012500,1.7400E-006,1599.012500,5.0560E-006,1599.012500,4.0131E001
1599.095000,1.9590E-004,1599.095000,1.7020E-006,1599.095000,4.9260E-006,1599.095000,3.9769E001
1599.177500,2.0170E-004,1599.177500,1.6930E-006,1599.177500,4.9020E-006,1599.177500,4.1146E001
1599.260000,1.9750E-004,1599.260000,1.6860E-006,1599.260000,4.8490E-006,1599.260000,4.0730E001
1599.342500,1.9810E-004,1599.342500,1.6390E-006,1599.342500,4.7380E-006,1599.342500,4.1811E001
1599.425000,2.0300E-004,1599.425000,1.6420E-006,1599.425000,5.0000E-006,1599.425000,4.0600E001
1599.507500,1.9420E-004,1599.507500,1.6470E-006,1599.507500,4.7260E-006,1599.507500,4.1092E001
1599.590000,2.0340E-004,1599.590000,1.6930E-006,1599.590000,4.9260E-006,1599.590000,4.1291E001
1599.672500,1.9740E-004,1599.672500,1.6700E-006,1599.672500,4.7520E-006,1599.672500,4.1540E001
1599.755000,1.9870E-004,1599.755000,1.5530E-006,1599.755000,4.5870E-006,1599.755000,4.3318E001
1599.837500,2.0080E-004,1599.837500,1.6740E-006,1599.837500,4.8490E-006,1599.837500,4.1411E001
1599.920000,1.9490E-004,1599.920000,1.6270E-006,1599.920000,4.6750E-006,1599.920000,4.1690E001
1600.002500,2.0210E-004,1600.002500,1.6510E-006,1600.002500,4.8080E-006,1600.002500,4.2034E001
1600.085000,1.9420E-004,1600.085000,1.6380E-006,1600.085000,4.6280E-006,1600.085000,4.1962E001
1600.167500,1.9920E-004,1600.167500,1.6610E-006,1600.167500,4.6810E-006,1600.167500,4.2555E001
1600.250000,1.9800E-004,1600.250000,1.6220E-006,1600.250000,4.6690E-006,1600.250000,4.2407E001
1600.332500,1.9490E-004,1600.332500,1.5840E-006,1600.332500,4.4780E-006,1600.332500,4.3524E001
1600.415000,1.9880E-004,1600.415000,1.6370E-006,1600.415000,4.6180E-006,1600.415000,4.3049E001
1600.497500,1.9470E-004,1600.497500,1.6290E-006,1600.497500,4.4830E-006,1600.497500,4.3431E001
1600.580000,1.9870E-004,1600.580000,1.6270E-006,1600.580000,4.5610E-006,1600.580000,4.3565E001
1600.662500,1.9520E-004,1600.662500,1.5840E-006,1600.662500,4.4930E-006,1600.662500,4.3445E001
1600.745000,1.9620E-004,1600.745000,1.5750E-006,1600.745000,4.4190E-006,1600.745000,4.4399E001
1600.827500,1.9800E-004,1600.827500,1.5680E-006,1600.827500,4.4540E-006,1600.827500,4.4454E001
1600.910000,1.9420E-004,1600.910000,1.5710E-006,1600.910000,4.3500E-006,1600.910000,4.4644E001
1600.992500,1.9860E-004,1600.992500,1.6130E-006,1600.992500,4.3830E-006,1600.992500,4.5311E001
1601.075000,1.9490E-004,1601.075000,1.5420E-006,1601.075000,4.3930E-006,1601.075000,4.4366E001
1601.157500,1.9690E-004,1601.157500,1.5280E-006,1601.157500,4.3250E-006,1601.157500,4.5526E001
1601.240000,1.9580E-004,1601.240000,1.5120E-006,1601.240000,4.2590E-006,1601.240000,4.5973E001
1601.322500,1.9370E-004,1601.322500,1.5330E-006,1601.322500,4.2510E-006,1601.322500,4.5566E001
1601.405000,1.9750E-004,1601.405000,1.5340E-006,1601.405000,4.2620E-006,1601.405000,4.6340E001
1601.487500,1.9230E-004,1601.487500,1.4980E-006,1601.487500,4.1340E-006,1601.487500,4.6517E001
1601.570000,1.9710E-004,1601.570000,1.4780E-006,1601.570000,4.2960E-006,1601.570000,4.5880E001
1601.652500,1.9360E-004,1601.652500,1.4690E-006,1601.652500,4.2040E-006,1601.652500,4.6051E001
1601.735000,1.9480E-004,1601.735000,1.4440E-006,1601.735000,4.0930E-006,1601.735000,4.7593E001
1601.817500,1.9580E-004,1601.817500,1.5150E-006,1601.817500,4.2530E-006,1601.817500,4.6038E001
1601.900000,1.9210E-004,1601.900000,1.4790E-006,1601.900000,4.1790E-006,1601.900000,4.5968E001
1601.982500,1.9850E-004,1601.982500,1.4810E-006,1601.982500,4.1200E-006,1601.982500,4.8180E001
1602.065000,1.9080E-004,1602.065000,1.4360E-006,1602.065000,3.9610E-006,1602.065000,4.8170E001
1602.147500,1.9640E-004,1602.147500,1.4780E-006,1602.147500,4.1420E-006,1602.147500,4.7417E001
1602.230000,1.9380E-004,1602.230000,1.4000E-006,1602.230000,4.0290E-006,1602.230000,4.8101E001
1602.312500,1.9300E-004,1602.312500,1.4590E-006,1602.312500,3.9630E-006,1602.312500,4.8700E001
1602.395000,1.9590E-004,1602.395000,1.4870E-006,1602.395000,4.0700E-006,1602.395000,4.8133E001
1602.477500,1.9050E-004,1602.477500,1.4450E-006,1602.477500,3.9550E-006,1602.477500,4.8167E001
1602.560000,1.9640E-004,1602.560000,1.4730E-006,1602.560000,4.0230E-006,1602.560000,4.8819E001
1602.642500,1.9010E-004,1602.642500,1.4380E-006,1602.642500,3.8850E-006,1602.642500,4.8932E001
1602.725000,1.9330E-004,1602.725000,1.4790E-006,1602.725000,3.7200E-006,1602.725000,5.1962E001
1602.807500,1.9360E-004,1602.807500,1.4230E-006,1602.807500,3.9730E-006,1602.807500,4.8729E001
1602.890000,1.8910E-004,1602.890000,1.4340E-006,1602.890000,3.8050E-006,1602.890000,4.9698E001
1602.972500,1.9450E-004,1602.972500,1.3970E-006,1602.972500,3.8850E-006,1602.972500,5.0064E001
1603.055000,1.9090E-004,1603.055000,1.3700E-006,1603.055000,3.8150E-006,1603.055000,5.0039E001
1603.137500,1.9260E-004,1603.137500,1.3370E-006,1603.137500,3.8350E-006,1603.137500,5.0222E001
1603.220000,1.9200E-004,1603.220000,1.4240E-006,1603.220000,3.8460E-006,1603.220000,4.9922E001
1603.302500,1.9060E-004,1603.302500,1.3470E-006,1603.302500,3.6520E-006,1603.302500,5.2191E001
1603.385000,1.9470E-004,1603.385000,1.4090E-006,1603.385000,3.7900E-006,1603.385000,5.1372E001
1603.467500,1.8790E-004,1603.467500,1.3510E-006,1603.467500,3.5480E-006,1603.467500,5.2959E001
