
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D)
1464.488000,1.4690E-004,1464.488000,5.5140E-005,1464.488000,1.2770E-005,1464.488000,5.4950E-006
1464.521000,1.4750E-004,1464.521000,5.5780E-005,1464.521000,1.2890E-005,1464.521000,5.5270E-006
1464.554000,1.4760E-004,1464.554000,5.5810E-005,1464.554000,1.2980E-005,1464.554000,5.5310E-006
1464.587000,1.4760E-004,1464.587000,5.5890E-005,1464.587000,1.2950E-005,1464.587000,5.5100E-006
1464.620000,1.4790E-004,1464.620000,5.5910E-005,1464.620000,1.2890E-005,1464.620000,5.4000E-006
1464.653000,1.4830E-004,1464.653000,5.5910E-005,1464.653000,1.2890E-005,1464.653000,5.4690E-006
1464.686000,1.4910E-004,1464.686000,5.6020E-005,1464.686000,1.2980E-005,1464.686000,5.4070E-006
1464.719000,1.4940E-004,1464.719000,5.6400E-005,1464.719000,1.2970E-005,1464.719000,5.5140E-006
1464.752000,1.4970E-004,1464.752000,5.6610E-005,1464.752000,1.2980E-005,1464.752000,5.4610E-006
1464.785000,1.5000E-004,1464.785000,5.6730E-005,1464.785000,1.2940E-005,1464.785000,5.4060E-006
1464.818000,1.4980E-004,1464.818000,5.6760E-005,1464.818000,1.2950E-005,1464.818000,5.4060E-006
1464.851000,1.5040E-004,1464.851000,5.6670E-005,1464.851000,1.2950E-005,1464.851000,5.3370E-006
1464.884000,1.5080E-004,1464.884000,5.6780E-005,1464.884000,1.2890E-005,1464.884000,5.3630E-006
1464.917000,1.5100E-004,1464.917000,5.6800E-005,1464.917000,1.2910E-005,1464.917000,5.2840E-006
1464.950000,1.5140E-004,1464.950000,5.7030E-005,1464.950000,1.2890E-005,1464.950000,5.2600E-006
1464.983000,1.5190E-004,1464.983000,5.7210E-005,1464.983000,1.2920E-005,1464.983000,5.2800E-006
1465.016000,1.5190E-004,1465.016000,5.7290E-005,1465.016000,1.2880E-005,1465.016000,5.2750E-006
1465.049000,1.5160E-004,1465.049000,5.7290E-005,1465.049000,1.2850E-005,1465.049000,5.3350E-006
1465.082000,1.5100E-004,1465.082000,5.6990E-005,1465.082000,1.2840E-005,1465.082000,5.2200E-006
1465.115000,1.4890E-004,1465.115000,5.6050E-005,1465.115000,1.2620E-005,1465.115000,5.0350E-006
1465.148000,1.4900E-004,1465.148000,5.5920E-005,1465.148000,1.2480E-005,1465.148000,5.0630E-006
1465.181000,1.5080E-004,1465.181000,5.6590E-005,1465.181000,1.2650E-005,1465.181000,5.0670E-006
1465.214000,1.5220E-004,1465.214000,5.7310E-005,1465.214000,1.2670E-005,1465.214000,5.0720E-006
1465.247000,1.5190E-004,1465.247000,5.7160E-005,1465.247000,1.2650E-005,1465.247000,5.0630E-006
1465.280000,1.5120E-004,1465.280000,5.7010E-005,1465.280000,1.2690E-005,1465.280000,4.9710E-006
1465.313000,1.5400E-004,1465.313000,5.7960E-005,1465.313000,1.2850E-005,1465.313000,4.9950E-006
1465.346000,1.5480E-004,1465.346000,5.8370E-005,1465.346000,1.2850E-005,1465.346000,5.0110E-006
1465.379000,1.5570E-004,1465.379000,5.8440E-005,1465.379000,1.2850E-005,1465.379000,5.0520E-006
1465.412000,1.5610E-004,1465.412000,5.8800E-005,1465.412000,1.2960E-005,1465.412000,4.9600E-006
1465.445000,1.5630E-004,1465.445000,5.9030E-005,1465.445000,1.2860E-005,1465.445000,4.9810E-006
1465.478000,1.5710E-004,1465.478000,5.9290E-005,1465.478000,1.2970E-005,1465.478000,4.9720E-006
1465.511000,1.5770E-004,1465.511000,5.9420E-005,1465.511000,1.3010E-005,1465.511000,4.9250E-006
1465.544000,1.5780E-004,1465.544000,5.9400E-005,1465.544000,1.2970E-005,1465.544000,4.9530E-006
1465.577000,1.5810E-004,1465.577000,5.9420E-005,1465.577000,1.2950E-005,1465.577000,4.9770E-006
1465.610000,1.5880E-004,1465.610000,5.9680E-005,1465.610000,1.2920E-005,1465.610000,4.7930E-006
