
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(J),Level(J)
1462.145000,9.2740E-005,1462.145000,1.1800E-007,1462.145000,7.0890E-007,1462.145000,7.8593E002
1462.161500,9.2950E-005,1462.161500,1.2340E-007,1462.161500,7.5790E-007,1462.161500,7.5324E002
1462.178000,9.3130E-005,1462.178000,1.0660E-007,1462.178000,7.6440E-007,1462.178000,8.7364E002
1462.194500,9.3150E-005,1462.194500,1.5200E-007,1462.194500,7.4330E-007,1462.194500,6.1283E002
1462.211000,9.3680E-005,1462.211000,1.7030E-007,1462.211000,7.5400E-007,1462.211000,5.5009E002
1462.227500,9.3530E-005,1462.227500,1.3500E-007,1462.227500,7.4590E-007,1462.227500,6.9281E002
1462.244000,9.3860E-005,1462.244000,1.0360E-007,1462.244000,6.7560E-007,1462.244000,9.0598E002
1462.260500,9.4100E-005,1462.260500,1.1790E-007,1462.260500,8.1450E-007,1462.260500,7.9813E002
1462.277000,9.4360E-005,1462.277000,1.6520E-007,1462.277000,7.4590E-007,1462.277000,5.7119E002
1462.293500,9.4470E-005,1462.293500,1.5640E-007,1462.293500,6.9880E-007,1462.293500,6.0403E002
1462.310000,9.4640E-005,1462.310000,1.2150E-007,1462.310000,7.3170E-007,1462.310000,7.7893E002
1462.326500,9.4810E-005,1462.326500,1.1430E-007,1462.326500,7.1900E-007,1462.326500,8.2948E002
1462.343000,9.4870E-005,1462.343000,1.0400E-007,1462.343000,7.3170E-007,1462.343000,9.1221E002
1462.359500,9.4810E-005,1462.359500,1.5030E-007,1462.359500,7.5660E-007,1462.359500,6.3081E002
1462.376000,9.5040E-005,1462.376000,1.0950E-007,1462.376000,6.9070E-007,1462.376000,8.6795E002
1462.392500,9.5020E-005,1462.392500,1.2070E-007,1462.392500,7.4050E-007,1462.392500,7.8724E002
1462.409000,9.5170E-005,1462.409000,1.5070E-007,1462.409000,7.2010E-007,1462.409000,6.3152E002
1462.425500,9.5350E-005,1462.425500,1.4810E-007,1462.425500,6.9480E-007,1462.425500,6.4382E002
1462.442000,9.5800E-005,1462.442000,1.1930E-007,1462.442000,7.5420E-007,1462.442000,8.0302E002
1462.458500,9.5880E-005,1462.458500,1.4800E-007,1462.458500,7.5270E-007,1462.458500,6.4784E002
1462.475000,9.6070E-005,1462.475000,1.4910E-007,1462.475000,7.2370E-007,1462.475000,6.4433E002
1462.491500,9.6330E-005,1462.491500,1.5880E-007,1462.491500,7.5420E-007,1462.491500,6.0661E002
1462.508000,9.6720E-005,1462.508000,1.1460E-007,1462.508000,7.5460E-007,1462.508000,8.4398E002
1462.524500,9.6720E-005,1462.524500,1.1440E-007,1462.524500,7.5960E-007,1462.524500,8.4545E002
1462.541000,9.6950E-005,1462.541000,1.2690E-007,1462.541000,7.6000E-007,1462.541000,7.6399E002
