
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1465.049000,1.4230E-004,1465.049000,6.4920E-005,1465.049000,3.1320E-005
1465.082000,1.4060E-004,1465.082000,6.3870E-005,1465.082000,3.1040E-005
1465.115000,1.4220E-004,1465.115000,6.4680E-005,1465.115000,3.1190E-005
1465.148000,1.4370E-004,1465.148000,6.5600E-005,1465.148000,3.1700E-005
1465.181000,1.4380E-004,1465.181000,6.5690E-005,1465.181000,3.1850E-005
1465.214000,1.4230E-004,1465.214000,6.5260E-005,1465.214000,3.1700E-005
1465.247000,1.4400E-004,1465.247000,6.5730E-005,1465.247000,3.1890E-005
1465.280000,1.4600E-004,1465.280000,6.6350E-005,1465.280000,3.2340E-005
1465.313000,1.4670E-004,1465.313000,6.6720E-005,1465.313000,3.2540E-005
1465.346000,1.4750E-004,1465.346000,6.7040E-005,1465.346000,3.2690E-005
1465.379000,1.4780E-004,1465.379000,6.7510E-005,1465.379000,3.2750E-005
1465.412000,1.4810E-004,1465.412000,6.7550E-005,1465.412000,3.3030E-005
1465.445000,1.4830E-004,1465.445000,6.7750E-005,1465.445000,3.3120E-005
1465.478000,1.4870E-004,1465.478000,6.7900E-005,1465.478000,3.3180E-005
1465.511000,1.4920E-004,1465.511000,6.7890E-005,1465.511000,3.3220E-005
1465.544000,1.4970E-004,1465.544000,6.8220E-005,1465.544000,3.3330E-005
1465.577000,1.5040E-004,1465.577000,6.8320E-005,1465.577000,3.3540E-005
1465.610000,1.5070E-004,1465.610000,6.8840E-005,1465.610000,3.3690E-005
1465.643000,1.5080E-004,1465.643000,6.8820E-005,1465.643000,3.3760E-005
1465.676000,1.5100E-004,1465.676000,6.9050E-005,1465.676000,3.3690E-005
1465.709000,1.5110E-004,1465.709000,6.8960E-005,1465.709000,3.3760E-005
1465.742000,1.5160E-004,1465.742000,6.9050E-005,1465.742000,3.3970E-005
1465.775000,1.5190E-004,1465.775000,6.9220E-005,1465.775000,3.4040E-005
1465.808000,1.5200E-004,1465.808000,6.9290E-005,1465.808000,3.4210E-005
1465.841000,1.5250E-004,1465.841000,6.9740E-005,1465.841000,3.4290E-005
1465.874000,1.5230E-004,1465.874000,6.9910E-005,1465.874000,3.4210E-005
1465.907000,1.5170E-004,1465.907000,6.9410E-005,1465.907000,3.4100E-005
1465.940000,1.5090E-004,1465.940000,6.9010E-005,1465.940000,3.3890E-005
1465.973000,1.5270E-004,1465.973000,6.9540E-005,1465.973000,3.4340E-005
1466.006000,1.5370E-004,1466.006000,6.9950E-005,1466.006000,3.4440E-005
1466.039000,1.5410E-004,1466.039000,7.0180E-005,1466.039000,3.4640E-005
1466.072000,1.5470E-004,1466.072000,7.0570E-005,1466.072000,3.4890E-005
1466.105000,1.5430E-004,1466.105000,7.0780E-005,1466.105000,3.4830E-005
1466.138000,1.5490E-004,1466.138000,7.0650E-005,1466.138000,3.4830E-005
1466.171000,1.5490E-004,1466.171000,7.0700E-005,1466.171000,3.4940E-005
1466.204000,1.5510E-004,1466.204000,7.0760E-005,1466.204000,3.4980E-005
1466.237000,1.5530E-004,1466.237000,7.1060E-005,1466.237000,3.5080E-005
