
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1469.636000,1.3840E-004,1469.636000,7.6680E-005,1469.636000,1.8049E000
1469.652500,1.4240E-004,1469.652500,7.8370E-005,1469.652500,1.8170E000
1469.669000,1.4750E-004,1469.669000,8.1320E-005,1469.669000,1.8138E000
1469.685500,1.5140E-004,1469.685500,8.3710E-005,1469.685500,1.8086E000
1469.702000,1.5290E-004,1469.702000,8.4880E-005,1469.702000,1.8014E000
1469.718500,1.5410E-004,1469.718500,8.5120E-005,1469.718500,1.8104E000
1469.735000,1.5460E-004,1469.735000,8.5460E-005,1469.735000,1.8090E000
1469.751500,1.5510E-004,1469.751500,8.5670E-005,1469.751500,1.8104E000
1469.768000,1.5520E-004,1469.768000,8.5950E-005,1469.768000,1.8057E000
1469.784500,1.5560E-004,1469.784500,8.6010E-005,1469.784500,1.8091E000
1469.801000,1.5580E-004,1469.801000,8.6400E-005,1469.801000,1.8032E000
1469.817500,1.5610E-004,1469.817500,8.6610E-005,1469.817500,1.8023E000
1469.834000,1.5620E-004,1469.834000,8.6630E-005,1469.834000,1.8031E000
1469.850500,1.5680E-004,1469.850500,8.6680E-005,1469.850500,1.8090E000
1469.867000,1.5650E-004,1469.867000,8.6780E-005,1469.867000,1.8034E000
1469.883500,1.5670E-004,1469.883500,8.6720E-005,1469.883500,1.8070E000
1469.900000,1.5690E-004,1469.900000,8.6850E-005,1469.900000,1.8066E000
1469.916500,1.5700E-004,1469.916500,8.6790E-005,1469.916500,1.8090E000
1469.933000,1.5690E-004,1469.933000,8.7000E-005,1469.933000,1.8034E000
1469.949500,1.5690E-004,1469.949500,8.7100E-005,1469.949500,1.8014E000
1469.966000,1.5720E-004,1469.966000,8.6790E-005,1469.966000,1.8113E000
1469.982500,1.5730E-004,1469.982500,8.7250E-005,1469.982500,1.8029E000
1469.999000,1.5750E-004,1469.999000,8.7130E-005,1469.999000,1.8076E000
1470.015500,1.5800E-004,1470.015500,8.7280E-005,1470.015500,1.8103E000
1470.032000,1.5770E-004,1470.032000,8.7430E-005,1470.032000,1.8037E000
1470.048500,1.5820E-004,1470.048500,8.7510E-005,1470.048500,1.8078E000
1470.065000,1.5810E-004,1470.065000,8.7720E-005,1470.065000,1.8023E000
1470.081500,1.5850E-004,1470.081500,8.7550E-005,1470.081500,1.8104E000
1470.098000,1.5840E-004,1470.098000,8.7530E-005,1470.098000,1.8097E000
1470.114500,1.5840E-004,1470.114500,8.7890E-005,1470.114500,1.8023E000
1470.131000,1.5810E-004,1470.131000,8.7640E-005,1470.131000,1.8040E000
1470.147500,1.5840E-004,1470.147500,8.7810E-005,1470.147500,1.8039E000
1470.164000,1.5820E-004,1470.164000,8.7770E-005,1470.164000,1.8024E000
1470.180500,1.5820E-004,1470.180500,8.7510E-005,1470.180500,1.8078E000
