
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D)
1462.178000,1.0260E-004,1462.178000,3.6540E-005,1462.178000,3.2510E-006,1462.178000,4.9780E-006
1462.194500,1.0290E-004,1462.194500,3.6570E-005,1462.194500,3.3280E-006,1462.194500,4.9650E-006
1462.211000,1.0310E-004,1462.211000,3.6740E-005,1462.211000,3.2700E-006,1462.211000,5.0460E-006
1462.227500,1.0320E-004,1462.227500,3.6700E-005,1462.227500,3.3320E-006,1462.227500,5.0380E-006
1462.244000,1.0360E-004,1462.244000,3.6930E-005,1462.244000,3.3490E-006,1462.244000,5.0650E-006
1462.260500,1.0380E-004,1462.260500,3.6950E-005,1462.260500,3.4010E-006,1462.260500,5.1610E-006
1462.277000,1.0380E-004,1462.277000,3.6970E-005,1462.277000,3.4120E-006,1462.277000,5.1360E-006
1462.293500,1.0400E-004,1462.293500,3.7100E-005,1462.293500,3.4610E-006,1462.293500,5.1590E-006
1462.310000,1.0420E-004,1462.310000,3.7120E-005,1462.310000,3.2850E-006,1462.310000,5.1380E-006
1462.326500,1.0420E-004,1462.326500,3.7080E-005,1462.326500,3.4810E-006,1462.326500,5.0740E-006
1462.343000,1.0420E-004,1462.343000,3.7210E-005,1462.343000,3.3580E-006,1462.343000,5.1620E-006
1462.359500,1.0440E-004,1462.359500,3.7080E-005,1462.359500,3.3580E-006,1462.359500,5.0890E-006
1462.376000,1.0450E-004,1462.376000,3.7170E-005,1462.376000,3.4140E-006,1462.376000,5.1680E-006
1462.392500,1.0470E-004,1462.392500,3.7340E-005,1462.392500,3.4420E-006,1462.392500,5.1680E-006
1462.409000,1.0510E-004,1462.409000,3.7510E-005,1462.409000,3.4380E-006,1462.409000,5.2580E-006
1462.425500,1.0520E-004,1462.425500,3.7510E-005,1462.425500,3.4140E-006,1462.425500,5.2190E-006
1462.442000,1.0530E-004,1462.442000,3.7620E-005,1462.442000,3.4460E-006,1462.442000,5.2490E-006
1462.458500,1.0570E-004,1462.458500,3.7580E-005,1462.458500,3.4550E-006,1462.458500,5.2690E-006
1462.475000,1.0590E-004,1462.475000,3.7660E-005,1462.475000,3.4950E-006,1462.475000,5.2860E-006
1462.491500,1.0600E-004,1462.491500,3.7640E-005,1462.491500,3.4800E-006,1462.491500,5.3550E-006
1462.508000,1.0610E-004,1462.508000,3.7850E-005,1462.508000,3.5100E-006,1462.508000,5.2670E-006
1462.524500,1.0620E-004,1462.524500,3.7880E-005,1462.524500,3.3950E-006,1462.524500,5.3520E-006
1462.541000,1.0630E-004,1462.541000,3.7900E-005,1462.541000,3.4780E-006,1462.541000,5.3650E-006
1462.557500,1.0640E-004,1462.557500,3.8030E-005,1462.557500,3.5000E-006,1462.557500,5.3290E-006
1462.574000,1.0660E-004,1462.574000,3.7960E-005,1462.574000,3.5490E-006,1462.574000,5.3140E-006
1462.590500,1.0670E-004,1462.590500,3.8020E-005,1462.590500,3.3900E-006,1462.590500,5.3590E-006
1462.607000,1.0680E-004,1462.607000,3.7960E-005,1462.607000,3.5100E-006,1462.607000,5.3370E-006
1462.623500,1.0680E-004,1462.623500,3.8000E-005,1462.623500,3.5810E-006,1462.623500,5.4260E-006
1462.640000,1.0720E-004,1462.640000,3.8050E-005,1462.640000,3.5390E-006,1462.640000,5.3550E-006
1462.656500,1.0710E-004,1462.656500,3.8280E-005,1462.656500,3.4870E-006,1462.656500,5.4450E-006
1462.673000,1.0750E-004,1462.673000,3.8240E-005,1462.673000,3.4270E-006,1462.673000,5.4000E-006
1462.689500,1.0770E-004,1462.689500,3.8310E-005,1462.689500,3.6500E-006,1462.689500,5.4660E-006
1462.706000,1.0800E-004,1462.706000,3.8410E-005,1462.706000,3.5680E-006,1462.706000,5.4550E-006
1462.722500,1.0810E-004,1462.722500,3.8410E-005,1462.722500,3.5450E-006,1462.722500,5.5390E-006
1462.739000,1.0810E-004,1462.739000,3.8460E-005,1462.739000,3.4760E-006,1462.739000,5.5500E-006
1462.755500,1.0820E-004,1462.755500,3.8500E-005,1462.755500,3.6070E-006,1462.755500,5.5280E-006
1462.772000,1.0830E-004,1462.772000,3.8730E-005,1462.772000,3.5640E-006,1462.772000,5.6400E-006
1462.788500,1.0810E-004,1462.788500,3.8650E-005,1462.788500,3.5230E-006,1462.788500,5.4450E-006
1462.805000,1.0800E-004,1462.805000,3.8540E-005,1462.805000,3.6160E-006,1462.805000,5.5720E-006
1462.821500,1.0820E-004,1462.821500,3.8630E-005,1462.821500,3.6270E-006,1462.821500,5.6040E-006
1462.838000,1.0850E-004,1462.838000,3.8470E-005,1462.838000,3.5860E-006,1462.838000,5.5830E-006
1462.854500,1.0830E-004,1462.854500,3.8770E-005,1462.854500,3.5980E-006,1462.854500,5.6500E-006
1462.871000,1.0870E-004,1462.871000,3.8750E-005,1462.871000,3.5640E-006,1462.871000,5.5140E-006
1462.887500,1.0870E-004,1462.887500,3.8690E-005,1462.887500,3.6370E-006,1462.887500,5.5570E-006
1462.904000,1.0890E-004,1462.904000,3.8900E-005,1462.904000,3.6070E-006,1462.904000,5.6150E-006
1462.920500,1.0930E-004,1462.920500,3.9030E-005,1462.920500,3.5900E-006,1462.920500,5.6020E-006
1462.937000,1.0950E-004,1462.937000,3.8990E-005,1462.937000,3.5530E-006,1462.937000,5.6540E-006
1462.953500,1.0960E-004,1462.953500,3.9080E-005,1462.953500,3.6180E-006,1462.953500,5.6750E-006
1462.970000,1.0980E-004,1462.970000,3.9140E-005,1462.970000,3.6370E-006,1462.970000,5.6330E-006
1462.986500,1.0980E-004,1462.986500,3.9250E-005,1462.986500,3.6220E-006,1462.986500,5.6520E-006
1463.003000,1.0980E-004,1463.003000,3.9070E-005,1463.003000,3.6370E-006,1463.003000,5.6620E-006
1463.019500,1.0970E-004,1463.019500,3.9050E-005,1463.019500,3.6240E-006,1463.019500,5.7220E-006
1463.036000,1.0980E-004,1463.036000,3.9120E-005,1463.036000,3.6630E-006,1463.036000,5.6200E-006
1463.052500,1.0930E-004,1463.052500,3.8900E-005,1463.052500,3.6740E-006,1463.052500,5.6560E-006
1463.069000,1.0880E-004,1463.069000,3.8690E-005,1463.069000,3.5980E-006,1463.069000,5.6950E-006
1463.085500,1.0730E-004,1463.085500,3.8300E-005,1463.085500,3.5860E-006,1463.085500,5.5360E-006
1463.102000,1.0670E-004,1463.102000,3.7870E-005,1463.102000,3.5730E-006,1463.102000,5.5510E-006
