
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D),Wavelength(E),Level(E)
1461.798500,1.0810E-004,1461.798500,6.5290E-005,1461.798500,3.1170E-005,1461.798500,2.1960E-005,1461.798500,3.4681E000
1461.815000,1.0850E-004,1461.815000,6.5200E-005,1461.815000,3.1260E-005,1461.815000,2.2090E-005,1461.815000,3.4709E000
1461.831500,1.0840E-004,1461.831500,6.5240E-005,1461.831500,3.1180E-005,1461.831500,2.2040E-005,1461.831500,3.4766E000
1461.848000,1.0840E-004,1461.848000,6.5240E-005,1461.848000,3.1260E-005,1461.848000,2.2150E-005,1461.848000,3.4677E000
1461.864500,1.0870E-004,1461.864500,6.5390E-005,1461.864500,3.1260E-005,1461.864500,2.2040E-005,1461.864500,3.4773E000
1461.881000,1.0890E-004,1461.881000,6.5460E-005,1461.881000,3.1560E-005,1461.881000,2.2130E-005,1461.881000,3.4506E000
1461.897500,1.0910E-004,1461.897500,6.5610E-005,1461.897500,3.1370E-005,1461.897500,2.2190E-005,1461.897500,3.4778E000
1461.914000,1.0920E-004,1461.914000,6.5760E-005,1461.914000,3.1520E-005,1461.914000,2.2150E-005,1461.914000,3.4645E000
1461.930500,1.0910E-004,1461.930500,6.5850E-005,1461.930500,3.1580E-005,1461.930500,2.2240E-005,1461.930500,3.4547E000
1461.947000,1.0940E-004,1461.947000,6.5950E-005,1461.947000,3.1630E-005,1461.947000,2.2170E-005,1461.947000,3.4587E000
1461.963500,1.0950E-004,1461.963500,6.6080E-005,1461.963500,3.1730E-005,1461.963500,2.2240E-005,1461.963500,3.4510E000
1461.980000,1.0960E-004,1461.980000,6.6270E-005,1461.980000,3.1840E-005,1461.980000,2.2430E-005,1461.980000,3.4422E000
1461.996500,1.0980E-004,1461.996500,6.6150E-005,1461.996500,3.1760E-005,1461.996500,2.2450E-005,1461.996500,3.4572E000
1462.013000,1.0990E-004,1462.013000,6.6150E-005,1462.013000,3.1910E-005,1462.013000,2.2520E-005,1462.013000,3.4441E000
1462.029500,1.1010E-004,1462.029500,6.6300E-005,1462.029500,3.2010E-005,1462.029500,2.2560E-005,1462.029500,3.4396E000
1462.046000,1.1000E-004,1462.046000,6.6550E-005,1462.046000,3.1950E-005,1462.046000,2.2560E-005,1462.046000,3.4429E000
1462.062500,1.1020E-004,1462.062500,6.6490E-005,1462.062500,3.2030E-005,1462.062500,2.2560E-005,1462.062500,3.4405E000
1462.079000,1.1040E-004,1462.079000,6.6620E-005,1462.079000,3.2010E-005,1462.079000,2.2580E-005,1462.079000,3.4489E000
1462.095500,1.1040E-004,1462.095500,6.6790E-005,1462.095500,3.2060E-005,1462.095500,2.2620E-005,1462.095500,3.4435E000
1462.112000,1.1070E-004,1462.112000,6.6620E-005,1462.112000,3.2140E-005,1462.112000,2.2620E-005,1462.112000,3.4443E000
1462.128500,1.1090E-004,1462.128500,6.6920E-005,1462.128500,3.2290E-005,1462.128500,2.2630E-005,1462.128500,3.4345E000
1462.145000,1.1110E-004,1462.145000,6.7000E-005,1462.145000,3.2190E-005,1462.145000,2.2690E-005,1462.145000,3.4514E000
1462.161500,1.1130E-004,1462.161500,6.7280E-005,1462.161500,3.2190E-005,1462.161500,2.2730E-005,1462.161500,3.4576E000
1462.178000,1.1160E-004,1462.178000,6.7290E-005,1462.178000,3.2340E-005,1462.178000,2.2750E-005,1462.178000,3.4508E000
1462.194500,1.1170E-004,1462.194500,6.7540E-005,1462.194500,3.2530E-005,1462.194500,2.2860E-005,1462.194500,3.4338E000
1462.211000,1.1190E-004,1462.211000,6.7630E-005,1462.211000,3.2480E-005,1462.211000,2.2990E-005,1462.211000,3.4452E000
1462.227500,1.1230E-004,1462.227500,6.7690E-005,1462.227500,3.2810E-005,1462.227500,2.2970E-005,1462.227500,3.4227E000
1462.244000,1.1230E-004,1462.244000,6.7860E-005,1462.244000,3.2680E-005,1462.244000,2.3100E-005,1462.244000,3.4364E000
1462.260500,1.1240E-004,1462.260500,6.7780E-005,1462.260500,3.2590E-005,1462.260500,2.3190E-005,1462.260500,3.4489E000
1462.277000,1.1260E-004,1462.277000,6.8060E-005,1462.277000,3.2870E-005,1462.277000,2.3150E-005,1462.277000,3.4256E000
1462.293500,1.1270E-004,1462.293500,6.7990E-005,1462.293500,3.2790E-005,1462.293500,2.3210E-005,1462.293500,3.4370E000
1462.310000,1.1290E-004,1462.310000,6.8080E-005,1462.310000,3.2900E-005,1462.310000,2.3150E-005,1462.310000,3.4316E000
1462.326500,1.1320E-004,1462.326500,6.8140E-005,1462.326500,3.2920E-005,1462.326500,2.3280E-005,1462.326500,3.4386E000
1462.343000,1.1330E-004,1462.343000,6.8300E-005,1462.343000,3.3070E-005,1462.343000,2.3280E-005,1462.343000,3.4261E000
1462.359500,1.1340E-004,1462.359500,6.8470E-005,1462.359500,3.3220E-005,1462.359500,2.3250E-005,1462.359500,3.4136E000
1462.376000,1.1370E-004,1462.376000,6.8660E-005,1462.376000,3.3260E-005,1462.376000,2.3320E-005,1462.376000,3.4185E000
1462.392500,1.1400E-004,1462.392500,6.8830E-005,1462.392500,3.3300E-005,1462.392500,2.3340E-005,1462.392500,3.4234E000
1462.409000,1.1400E-004,1462.409000,6.9000E-005,1462.409000,3.3390E-005,1462.409000,2.3380E-005,1462.409000,3.4142E000
1462.425500,1.1450E-004,1462.425500,6.9070E-005,1462.425500,3.3390E-005,1462.425500,2.3510E-005,1462.425500,3.4292E000
1462.442000,1.1470E-004,1462.442000,6.9240E-005,1462.442000,3.3520E-005,1462.442000,2.3620E-005,1462.442000,3.4218E000
1462.458500,1.1490E-004,1462.458500,6.9350E-005,1462.458500,3.3600E-005,1462.458500,2.3690E-005,1462.458500,3.4196E000
1462.475000,1.1510E-004,1462.475000,6.9580E-005,1462.475000,3.3630E-005,1462.475000,2.3660E-005,1462.475000,3.4225E000
1462.491500,1.1500E-004,1462.491500,6.9540E-005,1462.491500,3.3630E-005,1462.491500,2.3860E-005,1462.491500,3.4196E000
1462.508000,1.1530E-004,1462.508000,6.9650E-005,1462.508000,3.3630E-005,1462.508000,2.3750E-005,1462.508000,3.4285E000
1462.524500,1.1540E-004,1462.524500,6.9730E-005,1462.524500,3.3620E-005,1462.524500,2.3840E-005,1462.524500,3.4325E000
1462.541000,1.1570E-004,1462.541000,6.9730E-005,1462.541000,3.3690E-005,1462.541000,2.3860E-005,1462.541000,3.4343E000
1462.557500,1.1570E-004,1462.557500,6.9750E-005,1462.557500,3.3780E-005,1462.557500,2.3880E-005,1462.557500,3.4251E000
1462.574000,1.1600E-004,1462.574000,6.9900E-005,1462.574000,3.4050E-005,1462.574000,2.3900E-005,1462.574000,3.4068E000
1462.590500,1.1590E-004,1462.590500,7.0210E-005,1462.590500,3.4030E-005,1462.590500,2.3880E-005,1462.590500,3.4058E000
1462.607000,1.1620E-004,1462.607000,7.0250E-005,1462.607000,3.4140E-005,1462.607000,2.4010E-005,1462.607000,3.4036E000
1462.623500,1.1680E-004,1462.623500,7.0490E-005,1462.623500,3.4180E-005,1462.623500,2.4070E-005,1462.623500,3.4172E000
1462.640000,1.1690E-004,1462.640000,7.0630E-005,1462.640000,3.4330E-005,1462.640000,2.4090E-005,1462.640000,3.4052E000
1462.656500,1.1720E-004,1462.656500,7.0700E-005,1462.656500,3.4380E-005,1462.656500,2.4160E-005,1462.656500,3.4090E000
1462.673000,1.1730E-004,1462.673000,7.0850E-005,1462.673000,3.4420E-005,1462.673000,2.4200E-005,1462.673000,3.4079E000
1462.689500,1.1730E-004,1462.689500,7.1020E-005,1462.689500,3.4440E-005,1462.689500,2.4290E-005,1462.689500,3.4059E000
1462.706000,1.1760E-004,1462.706000,7.0940E-005,1462.706000,3.4400E-005,1462.706000,2.4260E-005,1462.706000,3.4186E000
1462.722500,1.1740E-004,1462.722500,7.1170E-005,1462.722500,3.4570E-005,1462.722500,2.4370E-005,1462.722500,3.3960E000
1462.739000,1.1750E-004,1462.739000,7.1060E-005,1462.739000,3.4630E-005,1462.739000,2.4420E-005,1462.739000,3.3930E000
1462.755500,1.1780E-004,1462.755500,7.1130E-005,1462.755500,3.4610E-005,1462.755500,2.4390E-005,1462.755500,3.4036E000
1462.772000,1.1770E-004,1462.772000,7.1240E-005,1462.772000,3.4740E-005,1462.772000,2.4390E-005,1462.772000,3.3880E000
1462.788500,1.1810E-004,1462.788500,7.1170E-005,1462.788500,3.4700E-005,1462.788500,2.4560E-005,1462.788500,3.4035E000
1462.805000,1.1830E-004,1462.805000,7.1320E-005,1462.805000,3.4780E-005,1462.805000,2.4420E-005,1462.805000,3.4014E000
1462.821500,1.1840E-004,1462.821500,7.1260E-005,1462.821500,3.4810E-005,1462.821500,2.4540E-005,1462.821500,3.4013E000
1462.838000,1.1860E-004,1462.838000,7.1660E-005,1462.838000,3.4890E-005,1462.838000,2.4520E-005,1462.838000,3.3993E000
1462.854500,1.1870E-004,1462.854500,7.1640E-005,1462.854500,3.4930E-005,1462.854500,2.4550E-005,1462.854500,3.3982E000
1462.871000,1.1900E-004,1462.871000,7.1900E-005,1462.871000,3.4960E-005,1462.871000,2.4550E-005,1462.871000,3.4039E000
1462.887500,1.1910E-004,1462.887500,7.1860E-005,1462.887500,3.4960E-005,1462.887500,2.4590E-005,1462.887500,3.4068E000
1462.904000,1.1900E-004,1462.904000,7.1990E-005,1462.904000,3.5130E-005,1462.904000,2.4790E-005,1462.904000,3.3874E000
